Order City,Customer City,Order Country,Customer Country,Days for shipping (real),Sales per customer,Order Item Total,Shipping Mode,Delivery Status
Ulm,Simi Valley,Alemania,EE. UU.,5,374.9599915,374.9599915,Standard Class,Late delivery
Chelles,New Bedford,Francia,EE. UU.,4,374.9599915,374.9599915,Standard Class,Shipping on time
Marbella,Tempe,España,EE. UU.,4,299.9500122,299.9500122,Standard Class,Shipping on time
Florence,Carlisle,Italia,EE. UU.,2,299.9500122,299.9500122,Standard Class,Advance shipping
Madrid,Dallas,España,EE. UU.,2,299.9500122,299.9500122,Standard Class,Advance shipping
Cologne,Davis,Alemania,EE. UU.,4,299.9500122,299.9500122,Standard Class,Shipping on time
Kashira,Brooklyn,Rusia,EE. UU.,6,296.9500122,296.9500122,Standard Class,Late delivery
Marbella,Tempe,España,EE. UU.,4,296.9500122,296.9500122,Standard Class,Shipping on time
Cholet,Chandler,Francia,EE. UU.,4,296.9500122,296.9500122,Standard Class,Shipping on time
Bochum,Chandler,Alemania,EE. UU.,3,296.9500122,296.9500122,Standard Class,Advance shipping
Annecy,Fullerton,Francia,EE. UU.,4,296.9500122,296.9500122,Standard Class,Shipping on time
Magdeburg,Chicago,Alemania,EE. UU.,6,296.9500122,296.9500122,Standard Class,Late delivery
Amberes,Elgin,Bélgica,EE. UU.,4,296.9500122,296.9500122,Standard Class,Shipping on time
Nuremberg,Carlisle,Alemania,EE. UU.,5,296.9500122,296.9500122,Standard Class,Late delivery
Makhachkala,Palmdale,Rusia,EE. UU.,3,293.9500122,293.9500122,Standard Class,Advance shipping
Cheliábinsk,Brooklyn,Rusia,EE. UU.,4,293.9500122,293.9500122,Standard Class,Shipping on time
Madrid,North Tonawanda,España,EE. UU.,3,293.9500122,293.9500122,Standard Class,Advance shipping
Wiesbaden,Honolulu,Alemania,EE. UU.,5,293.9500122,293.9500122,Standard Class,Late delivery
Sterlitamak,Massapequa,Rusia,EE. UU.,2,290.9500122,290.9500122,Standard Class,Advance shipping
Gdynia,Federal Way,Polonia,EE. UU.,3,290.9500122,290.9500122,Standard Class,Advance shipping
San Sebastian,Los Angeles,España,EE. UU.,3,290.9500122,290.9500122,Standard Class,Advance shipping
Brandenburgo,Los Angeles,Alemania,EE. UU.,4,290.9500122,290.9500122,Standard Class,Shipping on time
Wetzlar,Santa Ana,Alemania,EE. UU.,3,290.9500122,290.9500122,Standard Class,Advance shipping
Pertuis,Pittsburg,Francia,EE. UU.,3,290.9500122,290.9500122,Standard Class,Advance shipping
Torrevieja,West New York,España,EE. UU.,2,287.9500122,287.9500122,Standard Class,Advance shipping
Florence,Dallas,Italia,EE. UU.,4,287.9500122,287.9500122,Standard Class,Shipping on time
Cagnes-sur-Mer,Los Angeles,Francia,EE. UU.,5,287.9500122,287.9500122,Standard Class,Late delivery
Nanterre,Aurora,Francia,EE. UU.,4,287.9500122,287.9500122,Standard Class,Shipping on time
Sunderland,Lansdale,Reino Unido,EE. UU.,6,284.9500122,284.9500122,Standard Class,Late delivery
Vichy,Clementon,Francia,EE. UU.,6,284.9500122,284.9500122,Standard Class,Late delivery
Barcelona,San Diego,España,EE. UU.,4,283.4500122,283.4500122,Standard Class,Shipping on time
Viena,Orlando,Austria,EE. UU.,2,283.4500122,283.4500122,Standard Class,Advance shipping
Lohne,Troy,Alemania,EE. UU.,3,283.4500122,283.4500122,Standard Class,Advance shipping
Le Mans,Hanover,Francia,EE. UU.,5,283.4500122,283.4500122,Standard Class,Late delivery
Bordeaux,Virginia Beach,Francia,EE. UU.,5,283.4500122,283.4500122,Standard Class,Late delivery
Astracán,Los Angeles,Rusia,EE. UU.,2,278.9500122,278.9500122,Standard Class,Advance shipping
Rome,Porterville,Italia,EE. UU.,5,278.9500122,278.9500122,Standard Class,Late delivery
Astracán,Los Angeles,Rusia,EE. UU.,2,272.9500122,272.9500122,Standard Class,Advance shipping
Toulouse,Glendale,Francia,EE. UU.,3,272.9500122,272.9500122,Standard Class,Advance shipping
Rouen,La Mirada,Francia,EE. UU.,5,272.9500122,272.9500122,Standard Class,Late delivery
Stuttgart,Chicago,Alemania,EE. UU.,3,272.9500122,272.9500122,Standard Class,Advance shipping
Torrevieja,San Jose,España,EE. UU.,2,269.9599915,269.9599915,Standard Class,Advance shipping
Peterborough,Santa Ana,Reino Unido,EE. UU.,6,263.9599915,263.9599915,Standard Class,Late delivery
Leeds,Huntington Station,Reino Unido,EE. UU.,6,263.9599915,263.9599915,Standard Class,Late delivery
Milan,Enfield,Italia,EE. UU.,4,263.9599915,263.9599915,Standard Class,Shipping on time
Montecatini Terme,Meridian,Italia,EE. UU.,6,263.9599915,263.9599915,Standard Class,Late delivery
Viena,Simi Valley,Austria,EE. UU.,4,263.9599915,263.9599915,Standard Class,Shipping on time
The Hague,Bend,Países Bajos,EE. UU.,6,263.9599915,263.9599915,Standard Class,Late delivery
Drancy,Philadelphia,Francia,EE. UU.,2,263.9599915,263.9599915,Standard Class,Advance shipping
Warsaw,Brownsville,Polonia,EE. UU.,2,260.9599915,260.9599915,Standard Class,Advance shipping
Huelva,Baldwin Park,España,EE. UU.,5,260.9599915,260.9599915,Standard Class,Late delivery
Reggio nell'Emilia,Elyria,Italia,EE. UU.,4,260.9599915,260.9599915,Standard Class,Shipping on time
Drancy,Pomona,Francia,EE. UU.,5,260.9599915,260.9599915,Standard Class,Late delivery
Le Bouscat,Chicago,Francia,EE. UU.,2,260.9599915,260.9599915,Standard Class,Advance shipping
Berlín,Baltimore,Alemania,EE. UU.,5,260.9599915,260.9599915,Standard Class,Late delivery
Derbent,Chino Hills,Rusia,EE. UU.,4,254.9600067,254.9600067,Standard Class,Shipping on time
Warsaw,Philadelphia,Polonia,EE. UU.,3,254.9600067,254.9600067,Standard Class,Advance shipping
Edinburgh,Ventura,Reino Unido,EE. UU.,4,254.9600067,254.9600067,Standard Class,Shipping on time
London,Wheaton,Reino Unido,EE. UU.,6,254.9600067,254.9600067,Standard Class,Late delivery
Crewe,West New York,Reino Unido,EE. UU.,5,254.9600067,254.9600067,Standard Class,Late delivery
Paris,Amarillo,Francia,EE. UU.,5,254.9600067,254.9600067,Standard Class,Late delivery
Uvarovo,Simi Valley,Rusia,EE. UU.,5,251.9600067,251.9600067,Standard Class,Late delivery
Bognor Regis,Encinitas,Reino Unido,EE. UU.,3,251.9600067,251.9600067,Standard Class,Advance shipping
Waterlooville,Florissant,Reino Unido,EE. UU.,5,251.9600067,251.9600067,Standard Class,Late delivery
Valencia,Toms River,España,EE. UU.,6,248.9600067,248.9600067,Standard Class,Late delivery
Biarritz,Honolulu,Francia,EE. UU.,5,248.9600067,248.9600067,Standard Class,Late delivery
Aix-en-Provence,Chicago,Francia,EE. UU.,2,248.9600067,248.9600067,Standard Class,Advance shipping
Santiago de Chile,Sacramento,Chile,EE. UU.,2,41.47999954,41.47999954,Standard Class,Advance shipping
Nueva Gerona,Fort Washington,Cuba,EE. UU.,5,26.21999931,26.21999931,Standard Class,Late delivery
Mexico City,Long Beach,México,EE. UU.,2,51.18000031,51.18000031,Standard Class,Advance shipping
Registro,Wyandotte,Brasil,EE. UU.,2,189.9799957,189.9799957,Standard Class,Shipping canceled
San Pedro Sula,Newark,Honduras,EE. UU.,2,185.9799957,185.9799957,Standard Class,Shipping canceled
Presidente Dutra,Brooklyn,Brasil,EE. UU.,5,173.9799957,173.9799957,Standard Class,Shipping canceled
Tegucigalpa,Mililani,Honduras,EE. UU.,2,167.9799957,167.9799957,Standard Class,Shipping canceled
Villa Canales,New York,Guatemala,EE. UU.,4,105.5800018,105.5800018,Standard Class,Shipping canceled
Villa Canales,New York,Guatemala,EE. UU.,4,104.3799973,104.3799973,Standard Class,Shipping canceled
Jiutepec,Brooklyn,México,EE. UU.,3,104.3799973,104.3799973,Standard Class,Shipping canceled
Brumado,Loveland,Brasil,EE. UU.,2,99.0,99.0,Standard Class,Shipping canceled
Teresópolis,Harvey,Brasil,EE. UU.,2,98.0,98.0,Standard Class,Shipping canceled
Guarulhos,Saint Paul,Brasil,EE. UU.,4,75.98000336,75.98000336,Standard Class,Shipping canceled
Guarulhos,Saint Paul,Brasil,EE. UU.,4,80.0,80.0,Standard Class,Shipping canceled
Guangzhou,Chandler,China,EE. UU.,4,119.9800034,119.9800034,Standard Class,Shipping canceled
Bornova,Ewa Beach,Turquía,EE. UU.,5,111.5800018,111.5800018,Standard Class,Shipping canceled
Guangzhou,Chandler,China,EE. UU.,4,89.98999786,89.98999786,Standard Class,Shipping canceled
Salihli,Fond Du Lac,Turquía,EE. UU.,4,90.0,90.0,Standard Class,Shipping canceled
Tel Aviv,Hamilton,Israel,EE. UU.,5,47.22999954,47.22999954,Standard Class,Shipping canceled
Astaná,Mechanicsburg,Kazajistán,EE. UU.,2,199.9799957,199.9799957,Standard Class,Advance shipping
Samarinda,Simi Valley,Indonesia,EE. UU.,4,108.8399963,108.8399963,Standard Class,Shipping on time
Yakarta,Opelousas,Indonesia,EE. UU.,6,197.9799957,197.9799957,Standard Class,Late delivery
Launceston,Kailua,Australia,EE. UU.,3,195.9799957,195.9799957,Standard Class,Advance shipping
Ho Chi Minh City,Norfolk,Vietnam,EE. UU.,2,195.9799957,195.9799957,Standard Class,Advance shipping
Ranchi,Woodbridge,India,EE. UU.,4,181.9799957,181.9799957,Standard Class,Shipping on time
Antipolo,Elmhurst,Filipinas,EE. UU.,6,173.9799957,173.9799957,Standard Class,Late delivery
New Plymouth,Detroit,Nueva Zelanda,EE. UU.,4,163.9799957,163.9799957,Standard Class,Shipping on time
Heyuan,Aurora,China,EE. UU.,4,82.45999908,82.45999908,Standard Class,Shipping on time
Saveh,Phoenix,Irán,EE. UU.,3,47.99000168,47.99000168,Standard Class,Advance shipping
Launceston,Kailua,Australia,EE. UU.,3,115.1800003,115.1800003,Standard Class,Advance shipping
Seúl,Hyattsville,Corea del Sur,EE. UU.,3,113.9800034,113.9800034,Standard Class,Advance shipping
Durg,Sugar Land,India,EE. UU.,2,113.3799973,113.3799973,Standard Class,Advance shipping
Townsville,Elyria,Australia,EE. UU.,4,99.58000183,99.58000183,Standard Class,Shipping on time
Sydney,Raleigh,Australia,EE. UU.,5,98.37999725,98.37999725,Standard Class,Late delivery
Makati,Chillicothe,Filipinas,EE. UU.,2,98.37999725,98.37999725,Standard Class,Advance shipping
Ho Chi Minh City,Norfolk,Vietnam,EE. UU.,2,89.98999786,89.98999786,Standard Class,Advance shipping
Xinyi,Jersey City,China,EE. UU.,5,98.0,98.0,Standard Class,Late delivery
Bangkok,Canoga Park,Tailandia,EE. UU.,3,98.0,98.0,Standard Class,Advance shipping
Seúl,Amarillo,Corea del Sur,EE. UU.,4,96.0,96.0,Standard Class,Shipping on time
Wollongong,Jackson,Australia,EE. UU.,4,96.0,96.0,Standard Class,Shipping on time
Lianzhou,Moreno Valley,China,EE. UU.,5,74.37999725,74.37999725,Standard Class,Late delivery
Eskisehir,Chicago,Turquía,EE. UU.,2,74.37999725,74.37999725,Standard Class,Advance shipping
Armidale,New Orleans,Australia,EE. UU.,2,88.0,88.0,Standard Class,Advance shipping
Tamworth,San Benito,Australia,EE. UU.,2,69.58000183,69.58000183,Standard Class,Advance shipping
Perth,Los Angeles,Australia,EE. UU.,3,67.98000336,67.98000336,Standard Class,Advance shipping
Jambi,Brooklyn,Indonesia,EE. UU.,3,84.0,84.0,Standard Class,Advance shipping
Xuzhou,New Castle,China,EE. UU.,6,83.0,83.0,Standard Class,Late delivery
Wuhan,Hanover,China,EE. UU.,3,83.0,83.0,Standard Class,Advance shipping
Hobart,Honolulu,Australia,EE. UU.,2,65.58000183,65.58000183,Standard Class,Advance shipping
Lahore,Bloomfield,Pakistán,EE. UU.,3,63.97999954,63.97999954,Standard Class,Advance shipping
Sincan,Albuquerque,Turquía,EE. UU.,4,95.98000336,95.98000336,Standard Class,Shipping on time
Lahore,Bloomfield,Pakistán,EE. UU.,3,39.18000031,39.18000031,Standard Class,Advance shipping
Xuzhou,New Castle,China,EE. UU.,6,36.38000107,36.38000107,Standard Class,Late delivery
Heyuan,Aurora,China,EE. UU.,4,33.58000183,33.58000183,Standard Class,Shipping on time
Durg,Sugar Land,India,EE. UU.,2,76.77999878,76.77999878,Standard Class,Advance shipping
Surabaya,Los Angeles,Indonesia,EE. UU.,6,119.9800034,119.9800034,Standard Class,Late delivery
Ulan Bator,Cypress,Mongolia,EE. UU.,4,195.9799957,195.9799957,Standard Class,Shipping on time
Ulan Bator,Cypress,Mongolia,EE. UU.,4,193.9799957,193.9799957,Standard Class,Shipping on time
Christchurch,New Orleans,Nueva Zelanda,EE. UU.,6,52.90000153,52.90000153,Standard Class,Late delivery
Mackay,Brooklyn,Australia,EE. UU.,4,173.9799957,173.9799957,Standard Class,Shipping on time
Yuci,Newburgh,China,EE. UU.,4,169.9799957,169.9799957,Standard Class,Shipping on time
Fukui,New York,Japón,EE. UU.,4,165.9799957,165.9799957,Standard Class,Shipping on time
Christchurch,New Orleans,Nueva Zelanda,EE. UU.,6,165.9799957,165.9799957,Standard Class,Late delivery
Caloocan,Amarillo,Filipinas,EE. UU.,4,165.9799957,165.9799957,Standard Class,Shipping on time
Basra,Jackson,Irak,EE. UU.,6,159.9799957,159.9799957,Standard Class,Late delivery
Wuhan,Marrero,China,EE. UU.,3,149.9900055,149.9900055,Standard Class,Advance shipping
Belgaum,Grand Prairie,India,EE. UU.,2,119.9800034,119.9800034,Standard Class,Advance shipping
Lahore,Bronx,Pakistán,EE. UU.,6,118.7799988,118.7799988,Standard Class,Late delivery
Cainta,Greeley,Filipinas,EE. UU.,2,116.3799973,116.3799973,Standard Class,Advance shipping
Auckland,Smyrna,Nueva Zelanda,EE. UU.,6,113.9800034,113.9800034,Standard Class,Late delivery
Gorakhpur,West Covina,India,EE. UU.,6,113.3799973,113.3799973,Standard Class,Late delivery
Taupo,Chicago,Nueva Zelanda,EE. UU.,5,109.1800003,109.1800003,Standard Class,Late delivery
Gujranwala,Chicago,Pakistán,EE. UU.,6,100.7799988,100.7799988,Standard Class,Late delivery
Aurangabad,North Richland Hills,India,EE. UU.,3,100.7799988,100.7799988,Standard Class,Advance shipping
Estambul,Riverside,Turquía,EE. UU.,5,99.58000183,99.58000183,Standard Class,Late delivery
Ahvaz,San Diego,Irán,EE. UU.,2,89.98999786,89.98999786,Standard Class,Advance shipping
Sarkand,Miami,Kazajistán,EE. UU.,4,79.18000031,79.18000031,Standard Class,Shipping on time
Manila,Wyandotte,Filipinas,EE. UU.,5,98.0,98.0,Standard Class,Late delivery
Makati,Cleveland,Filipinas,EE. UU.,5,98.0,98.0,Standard Class,Late delivery
Ajman,Houston,Emiratos Árabes Unidos,EE. UU.,2,98.0,98.0,Standard Class,Advance shipping
Zhuhai,Littleton,China,EE. UU.,3,77.58000183,77.58000183,Standard Class,Advance shipping
Bucheon,Longmont,Corea del Sur,EE. UU.,4,77.58000183,77.58000183,Standard Class,Shipping on time
Bursa,Sacramento,Turquía,EE. UU.,3,77.58000183,77.58000183,Standard Class,Advance shipping
Estambul,Brooklyn,Turquía,EE. UU.,2,97.0,97.0,Standard Class,Advance shipping
Manila,Wyandotte,Filipinas,EE. UU.,5,57.0,57.0,Standard Class,Late delivery
Astaná,Chesapeake,Kazajistán,EE. UU.,5,94.5,94.5,Standard Class,Late delivery
Guangzhou,Hyattsville,China,EE. UU.,2,91.0,91.0,Standard Class,Advance shipping
Lismore,Englewood,Australia,EE. UU.,4,72.77999878,72.77999878,Standard Class,Shipping on time
Nelson,Arlington Heights,Nueva Zelanda,EE. UU.,4,87.0,87.0,Standard Class,Shipping on time
Lahore,Bronx,Pakistán,EE. UU.,6,87.0,87.0,Standard Class,Late delivery
Hobart,Tampa,Australia,EE. UU.,2,314.6400146,314.6400146,Second Class,Shipping on time
Hobart,San Benito,Australia,EE. UU.,6,311.3599854,311.3599854,Standard Class,Late delivery
Hobart,Caguas,Australia,Puerto Rico,5,309.7200012,309.7200012,Standard Class,Late delivery
Yichun,Indianapolis,China,EE. UU.,4,304.8099976,304.8099976,Standard Class,Shipping on time
Daqing,Caguas,China,Puerto Rico,3,298.25,298.25,Standard Class,Advance shipping
Daqing,Enfield,China,EE. UU.,2,294.980011,294.980011,Second Class,Shipping on time
Daqing,Caguas,China,Puerto Rico,6,288.4200134,288.4200134,Second Class,Late delivery
Daqing,Los Angeles,China,EE. UU.,2,285.1400146,285.1400146,First Class,Late delivery
Daqing,Caguas,China,Puerto Rico,2,278.5899963,278.5899963,First Class,Late delivery
Daqing,Modesto,China,EE. UU.,2,275.3099976,275.3099976,First Class,Late delivery
Solapur,Caguas,India,Puerto Rico,2,272.0299988,272.0299988,First Class,Late delivery
Solapur,Irvington,India,EE. UU.,6,268.7600098,268.7600098,Standard Class,Late delivery
Solapur,Caguas,India,Puerto Rico,5,262.2000122,262.2000122,Standard Class,Late delivery
Chongqing,Norfolk,China,EE. UU.,4,245.8099976,245.8099976,Standard Class,Shipping on time
Perth,Gardena,Australia,EE. UU.,3,327.75,327.75,Standard Class,Advance shipping
Perth,Caguas,Australia,Puerto Rico,2,324.4700012,324.4700012,Standard Class,Advance shipping
Perth,Honolulu,Australia,EE. UU.,6,321.2000122,321.2000122,Standard Class,Shipping canceled
Perth,Caguas,Australia,Puerto Rico,5,317.9200134,317.9200134,Second Class,Late delivery
Zhaoqing,Newark,China,EE. UU.,4,314.6400146,314.6400146,Second Class,Late delivery
Caloocan,Forest Hills,Filipinas,EE. UU.,3,311.3599854,311.3599854,Second Class,Late delivery
Tegal,Caguas,Indonesia,Puerto Rico,2,309.7200012,309.7200012,First Class,Late delivery
Suzhou,Ontario,China,EE. UU.,2,304.8099976,304.8099976,First Class,Late delivery
Chongqing,Caguas,China,Puerto Rico,2,298.25,298.25,First Class,Late delivery
Medan,Webster,Indonesia,EE. UU.,2,294.980011,294.980011,First Class,Late delivery
Adelaide,New York,Australia,EE. UU.,2,288.4200134,288.4200134,First Class,Late delivery
Manila,Brownsville,Filipinas,EE. UU.,0,285.1400146,285.1400146,Same Day,Shipping on time
Toowoomba,Caguas,Australia,Puerto Rico,6,278.5899963,278.5899963,Standard Class,Late delivery
Toowoomba,Dearborn,Australia,EE. UU.,5,275.3099976,275.3099976,Standard Class,Late delivery
Bihar Sharif,Corona,India,EE. UU.,4,272.0299988,272.0299988,Standard Class,Shipping on time
Pune,Caguas,India,Puerto Rico,3,268.7600098,268.7600098,Standard Class,Advance shipping
Semarang,New York,Indonesia,EE. UU.,2,262.2000122,262.2000122,Standard Class,Advance shipping
Semarang,Carrollton,Indonesia,EE. UU.,6,245.8099976,245.8099976,Standard Class,Late delivery
Taixing,Bakersfield,China,EE. UU.,5,327.75,327.75,Second Class,Late delivery
Taixing,Caguas,China,Puerto Rico,4,324.4700012,324.4700012,Second Class,Late delivery
Sydney,Compton,Australia,EE. UU.,3,321.2000122,321.2000122,Second Class,Late delivery
Canberra,Simi Valley,Australia,EE. UU.,2,317.9200134,317.9200134,Second Class,Shipping on time
Mackay,Caguas,Australia,Puerto Rico,6,314.6400146,314.6400146,Second Class,Late delivery
Mackay,Lancaster,Australia,EE. UU.,2,311.3599854,311.3599854,First Class,Late delivery
Mackay,Garland,Australia,EE. UU.,4,309.7200012,309.7200012,Second Class,Late delivery
Mackay,Arecibo,Australia,Puerto Rico,3,304.8099976,304.8099976,Standard Class,Advance shipping
Mackay,Caguas,Australia,Puerto Rico,2,298.25,298.25,Standard Class,Advance shipping
Mackay,Opelousas,Australia,EE. UU.,6,294.980011,294.980011,Standard Class,Late delivery
Mackay,Caguas,Australia,Puerto Rico,5,288.4200134,288.4200134,Second Class,Late delivery
Adelaide,Riverside,Australia,EE. UU.,4,285.1400146,285.1400146,Second Class,Late delivery
Adelaide,Waipahu,Australia,EE. UU.,3,278.5899963,278.5899963,Standard Class,Advance shipping
Rangún,Caguas,Myanmar (Birmania),Puerto Rico,2,275.3099976,275.3099976,Standard Class,Advance shipping
Caloundra,Tucson,Australia,EE. UU.,6,272.0299988,272.0299988,Standard Class,Late delivery
Newcastle,Los Angeles,Australia,EE. UU.,5,268.7600098,268.7600098,Standard Class,Shipping canceled
Gold Coast,Carmichael,Australia,EE. UU.,4,262.2000122,262.2000122,Second Class,Late delivery
Delhi,Caguas,India,Puerto Rico,1,245.8099976,245.8099976,Same Day,Late delivery
Manado,Tustin,Indonesia,EE. UU.,2,327.75,327.75,Standard Class,Advance shipping
Jiangyan,Caguas,China,Puerto Rico,6,324.4700012,324.4700012,Standard Class,Late delivery
Jiangyan,Loveland,China,EE. UU.,5,321.2000122,321.2000122,Standard Class,Late delivery
Jiangyan,Miami,China,EE. UU.,4,317.9200134,317.9200134,Standard Class,Shipping on time
Jiangyan,Anaheim,China,EE. UU.,3,314.6400146,314.6400146,Standard Class,Shipping canceled
Sydney,Chicago,Australia,EE. UU.,2,311.3599854,311.3599854,Standard Class,Advance shipping
Sydney,Caguas,Australia,Puerto Rico,6,309.7200012,309.7200012,Standard Class,Late delivery
Melbourne,Detroit,Australia,EE. UU.,5,304.8099976,304.8099976,Standard Class,Late delivery
Mardan,Canton,Pakistán,EE. UU.,4,298.25,298.25,Standard Class,Shipping on time
Mardan,Stafford,Pakistán,EE. UU.,3,294.980011,294.980011,Standard Class,Advance shipping
Newcastle,Caguas,Australia,Puerto Rico,2,288.4200134,288.4200134,Standard Class,Advance shipping
Newcastle,San Diego,Australia,EE. UU.,6,285.1400146,285.1400146,Standard Class,Late delivery
Xinzhou,Caguas,China,Puerto Rico,5,278.5899963,278.5899963,Second Class,Late delivery
Nanchong,Bronx,China,EE. UU.,4,275.3099976,275.3099976,Second Class,Late delivery
Nom Pen,Caguas,Camboya,Puerto Rico,3,272.0299988,272.0299988,Standard Class,Advance shipping
Bandung,South Richmond Hill,Indonesia,EE. UU.,2,268.7600098,268.7600098,Standard Class,Advance shipping
Bandung,Caguas,Indonesia,Puerto Rico,6,262.2000122,262.2000122,Second Class,Late delivery
Bandung,Middletown,Indonesia,EE. UU.,5,245.8099976,245.8099976,Second Class,Shipping canceled
Patna,Gilroy,India,EE. UU.,2,327.75,327.75,Standard Class,Advance shipping
Patna,Caguas,India,Puerto Rico,6,324.4700012,324.4700012,Standard Class,Late delivery
Patna,Azusa,India,EE. UU.,5,321.2000122,321.2000122,Standard Class,Late delivery
Patna,Caguas,India,Puerto Rico,4,317.9200134,317.9200134,Standard Class,Shipping on time
Patna,Lenoir,India,EE. UU.,3,314.6400146,314.6400146,Standard Class,Advance shipping
Patna,Columbus,India,EE. UU.,2,311.3599854,311.3599854,Standard Class,Advance shipping
Patna,Albany,India,EE. UU.,6,309.7200012,309.7200012,Standard Class,Late delivery
Patna,Humacao,India,Puerto Rico,5,304.8099976,304.8099976,Standard Class,Late delivery
Sydney,Caguas,Australia,Puerto Rico,4,298.25,298.25,Second Class,Late delivery
Faridabad,Lindenhurst,India,EE. UU.,3,294.980011,294.980011,Standard Class,Advance shipping
Faridabad,Elyria,India,EE. UU.,2,288.4200134,288.4200134,Standard Class,Advance shipping
Adelaide,Riverside,Australia,EE. UU.,5,278.5899963,278.5899963,Standard Class,Late delivery
Adelaide,Caguas,Australia,Puerto Rico,4,275.3099976,275.3099976,Standard Class,Shipping on time
Adelaide,Carson,Australia,EE. UU.,3,272.0299988,272.0299988,Standard Class,Advance shipping
Lahore,Mesa,Pakistán,EE. UU.,2,268.7600098,268.7600098,First Class,Late delivery
Yakarta,Caguas,Indonesia,Puerto Rico,2,262.2000122,262.2000122,First Class,Late delivery
Yakarta,Honolulu,Indonesia,EE. UU.,2,245.8099976,245.8099976,First Class,Late delivery
Yakarta,Caguas,Indonesia,Puerto Rico,2,327.75,327.75,First Class,Late delivery
Yakarta,Tampa,Indonesia,EE. UU.,3,324.4700012,324.4700012,Standard Class,Advance shipping
Semarang,San Benito,Indonesia,EE. UU.,2,321.2000122,321.2000122,Standard Class,Advance shipping
Semarang,Caguas,Indonesia,Puerto Rico,6,317.9200134,317.9200134,Standard Class,Late delivery
Ulan Bator,Indianapolis,Mongolia,EE. UU.,5,314.6400146,314.6400146,Standard Class,Late delivery
Maryborough,Caguas,Australia,Puerto Rico,4,311.3599854,311.3599854,Standard Class,Shipping on time
Pekín,Enfield,China,EE. UU.,3,309.7200012,309.7200012,Standard Class,Advance shipping
Thane,Caguas,India,Puerto Rico,2,304.8099976,304.8099976,Second Class,Shipping on time
Thane,Los Angeles,India,EE. UU.,6,298.25,298.25,Standard Class,Late delivery
Sydney,Caguas,Australia,Puerto Rico,5,294.980011,294.980011,Second Class,Late delivery
Rangún,Modesto,Myanmar (Birmania),EE. UU.,2,288.4200134,288.4200134,First Class,Late delivery
Rangún,Caguas,Myanmar (Birmania),Puerto Rico,3,285.1400146,285.1400146,Standard Class,Advance shipping
Rangún,Irvington,Myanmar (Birmania),EE. UU.,2,278.5899963,278.5899963,Second Class,Shipping on time
Rangún,Caguas,Myanmar (Birmania),Puerto Rico,6,275.3099976,275.3099976,Second Class,Late delivery
Rangún,Norfolk,Myanmar (Birmania),EE. UU.,5,272.0299988,272.0299988,Second Class,Late delivery
Rangún,Gardena,Myanmar (Birmania),EE. UU.,2,268.7600098,268.7600098,First Class,Late delivery
Yakarta,Caguas,Indonesia,Puerto Rico,3,262.2000122,262.2000122,Standard Class,Advance shipping
Yakarta,Honolulu,Indonesia,EE. UU.,2,245.8099976,245.8099976,Standard Class,Shipping canceled
Huangshan,Caguas,China,Puerto Rico,6,327.75,327.75,Standard Class,Late delivery
Rangún,Newark,Myanmar (Birmania),EE. UU.,5,324.4700012,324.4700012,Standard Class,Late delivery
Rangún,Forest Hills,Myanmar (Birmania),EE. UU.,4,321.2000122,321.2000122,Standard Class,Shipping on time
Seúl,Caguas,Corea del Sur,Puerto Rico,0,317.9200134,317.9200134,Same Day,Shipping on time
Valenzuela,Ontario,Filipinas,EE. UU.,2,314.6400146,314.6400146,Standard Class,Advance shipping
Valenzuela,Caguas,Filipinas,Puerto Rico,6,311.3599854,311.3599854,Standard Class,Late delivery
Valenzuela,Webster,Filipinas,EE. UU.,5,309.7200012,309.7200012,Standard Class,Late delivery
Hubli,New York,India,EE. UU.,4,304.8099976,304.8099976,Standard Class,Shipping on time
Hubli,Brownsville,India,EE. UU.,3,298.25,298.25,Standard Class,Advance shipping
Kwinana,Caguas,Australia,Puerto Rico,2,294.980011,294.980011,Standard Class,Advance shipping
Kwinana,Dearborn,Australia,EE. UU.,6,288.4200134,288.4200134,Standard Class,Late delivery
Kwinana,Corona,Australia,EE. UU.,5,285.1400146,285.1400146,Standard Class,Shipping canceled
Madurai,Caguas,India,Puerto Rico,4,278.5899963,278.5899963,Standard Class,Shipping on time
Qingdao,New York,China,EE. UU.,3,275.3099976,275.3099976,Standard Class,Advance shipping
Yakarta,Carrollton,Indonesia,EE. UU.,2,272.0299988,272.0299988,Standard Class,Advance shipping
Surabaya,Bakersfield,Indonesia,EE. UU.,2,268.7600098,268.7600098,First Class,Late delivery
Manila,Caguas,Filipinas,Puerto Rico,2,262.2000122,262.2000122,First Class,Late delivery
Manila,Compton,Filipinas,EE. UU.,2,245.8099976,245.8099976,First Class,Shipping canceled
Manila,Simi Valley,Filipinas,EE. UU.,3,327.75,327.75,Standard Class,Advance shipping
Manila,Caguas,Filipinas,Puerto Rico,2,324.4700012,324.4700012,Standard Class,Advance shipping
Manila,Lancaster,Filipinas,EE. UU.,6,321.2000122,321.2000122,Standard Class,Late delivery
Adelaide,Garland,Australia,EE. UU.,5,317.9200134,317.9200134,Standard Class,Late delivery
Adelaide,Arecibo,Australia,Puerto Rico,2,314.6400146,314.6400146,First Class,Late delivery
Adelaide,Caguas,Australia,Puerto Rico,2,311.3599854,311.3599854,First Class,Late delivery
